PTON	Peloton Interactive	Leisure Products	"9.25B
"	23
T	"""AT&T, Inc."""	Diversified Telecommunication Services	"174.38B
"	23
CLAS	Class Acceleration	Blank Check / SPAC	"315.03M
"	21
EBAY	eBay Inc.	Internet & Direct Marketing Retail	"37.86B
"	21
IMO	Imperial Oil	"""Oil, Gas & Consumable Fuels"""	"30.11B
"	21
MODN	Model N	Software	"961.46M
"	21
COOP	Mr. Cooper Group	Thrifts & Mortgage Finance	"2.98B
"	20
SRCE	1st Source	Banks	"1.23B
"	20
AM	Antero Midstream	"""Oil, Gas & Consumable Fuels"""	"4.80B
"	19
EQS	Equus Total Return	Capital Markets	"36.23M
"	19
MOMO	Hello Group	Interactive Media & Services	"2.06B
"	19
OR	Osisko Gold Royalties	Metals & Mining	"1.85B
"	19
TMUS	T-Mobile US	Wireless Telecommunication Services	"136.83B
"	19
TROW	T. Rowe Price Group	Capital Markets	"35.70B
"	19
TUEM	Tuesday Morning	Discount Stores	"172.82M
"	19
YQ	17 Education & Technology Group	Interactive Media & Services	"56.12M
"	19
AGL	agilon health	Medical Care Facilities	"6.72B
"	18
ENJY	Enjoy Technology	Specialty Retail	"373.22M
"	18
GTES	Gates Industrial	Machinery	"4.59B
"	18
HITI	High Tide	Pharmaceutical Retailers	"246.53M
"	18
TTD	The Trade Desk	Software	"36.60B
"	18
ME	23andMe Holding Co.	Diagnostics & Research	"2.27B
"	17
RIVN	Rivian Automotive	Auto Manufacturers	"61.50B
"	17
ZM	Zoom Video Communications	Software	"46.39B
"	17
BABA	Alibaba Group Holding	Internet & Direct Marketing Retail	"344.88B
"	16
DJCO	Daily Journal	Media	"431.21M
"	16
IGAC	IG Acquisition	Blank Check / SPAC	"368.81M
"	16
IQ	iQIYI	Entertainment	"3.58B
"	16
NOK	Nokia	Communications Equipment	"33.47B
"	16
SO	The Southern Company	Electric Utilities	"72.06B
"	16
SPCE	Virgin Galactic Holdings	Aerospace & Defense	"2.51B
"	16
Z	Zillow Group	Interactive Media & Services	"13.05B
"	16
Symbol	Company Name	Industry	"Market Cap
"	15
DKNG	DraftKings	"""Hotels, Restaurants & Leisure"""	"9.63B
"	15
GM	General Motors Company	Automobiles	"78.50B
"	15
OPEN	Opendoor Technologies	Real Estate Management & Development	"6.62B
"	15
OUT	OUTFRONT Media	Equity Real Estate Investment Trusts...	"3.60B
"	15
POWL	Powell Industries	Electrical Equipment	"344.91M
"	15
TLRY	Tilray	Pharmaceuticals	"2.90B
"	15
TOPS	Top Ships	"""Oil, Gas & Consumable Fuels"""	"33.06M
"	15
XOM	Exxon Mobil	"""Oil, Gas & Consumable Fuels"""	"344.39B
"	15
LCW	Learn CW Investment	Blank Check / SPAC	"246.25M
"	14
O	Realty Income	Equity Real Estate Investment Trusts...	"39.11B
"	14
OG	Onion Global	Software-Application	"185.64M
"	14
TD	The Toronto-Dominion Bank	Banks	"148.78B
"	14
UK	Ucommune International	Real Estate Services	"53.83M
"	14
UNH	UnitedHealth Group	Health Care Providers & Services	"441.17B
"	14
WTM	White Mountains Insurance Group	Insurance	"3.17B
"	14
ADC	Agree Realty	Equity Real Estate Investment Trusts...	"4.61B
"	13
AFRM	Affirm Holdings	IT Services	"18.96B
"	13
GBOX	GreenBox POS	Software-Infrastructure	"169.69M
"	13
K	Kellogg Company	Food Products	"21.57B
"	13
NEW	Puxin	Diversified Consumer Services	"19.48M
"	13
TTSH	Tile Shop Holdings	Specialty Retail	"343.78M
"	13
ALGN	Align Technology	Health Care Equipment & Supplies	"40.10B
"	12
EM	Smart Share Global	Personal Services	"461.46M
"	12
IBM	International Business Machines	IT Services	"121.48B
"	12
IMCC	IM Cannabis	Drug Manufacturers-Specialty & Generic	"150.00M
"	12
LE	Lands' End	Internet & Direct Marketing Retail	"611.18M
"	12
LFG	Archaea Energy	Utilities-Renewable	"944.91M
"	12
LMT	Lockheed Martin	Aerospace & Defense	"105.39B
"	12
MA	Mastercard	IT Services	"384.16B
"	12
NET	Cloudflare	Software	"32.96B
"	12
NFGC	New Found Gold	Gold	"964.69M
"	12
PIAI	Prime Impact Acquisition I	Blank Check / SPAC	"399.03M
"	12
S	SentinelOne	Software-Infrastructure	"12.52B
"	12
AVCT	American Virtual Cloud Technologies	IT Services	"103.59M
"	11
B	Barnes Group	Machinery	"2.30B
"	11
BY	Byline Bancorp	Banks	"1.01B
"	11
BYND	Beyond Meat	Food Products	"4.24B
"	11
CIH	China Index Holdings	Professional Services	"91.33M
"	11
CPA	Copa Holdings	Airlines	"3.59B
"	11
CRM	Salesforce.com	Software	"228.64B
"	11
EA	Electronic Arts	Entertainment	"36.75B
"	11
FNA	Paragon 28	Medical Devices	"1.18B
"	11
GL	Globe Life	Insurance	"10.38B
"	11
KDP	Keurig Dr Pepper	Beverages	"54.08B
"	11
MTTR	Matterport	Software-Application	"2.50B
"	11
MVST	Microvast Holdings	Electrical Equipment & Parts	"1.84B
"	11
NVAX	Novavax	Biotechnology	"7.20B
"	11
RYAN	Ryan Specialty Group Holdings	Insurance-Specialty	"4.10B
"	11
SLGG	Super League Gaming	Interactive Media & Services	"77.28M
"	11
SVFD	Save Foods	Agricultural Inputs	"12.21M
"	11
TIL	Instil Bio	Biotechnology	"1.57B
"	11
UCBI	United Community Banks	Banks	"3.79B
"	11
USDP	USD Partners LP	"""Oil, Gas & Consumable Fuels"""	"161.99M
"	11
Y	Alleghany	Insurance	"9.23B
"	11
CAN	Canaan	"""Technology Hardware, Storage & Periph..."""	"774.10M
"	10
CMG	Chipotle Mexican Grill	"""Hotels, Restaurants & Leisure"""	"42.55B
"	10
COST	Costco Wholesale	Food & Staples Retailing	"225.45B
"	10
DAOO	Crypto 1 Acquisition	Blank Check / SPAC	"245.50M
"	10
HUGE	FSD Pharma	IT Services	"34.78M
"	10
MRO	Marathon Oil	"""Oil, Gas & Consumable Fuels"""	"16.08B
"	10
TROO	TROOPS	Software-Application	"463.29M
"	10
TSM	Taiwan Semiconductor Manufacturing Company	Semiconductors & Semiconductor Equipment	"638.14B
"	10
W	Wayfair	Internet & Direct Marketing Retail	"16.99B
"	10
AZRE	Azure Power Global	Independent Power and Renewable Elect...	"899.51M
"	9
CNXN	PC Connection	"""Electronic Equipment, Instruments & C..."""	"1.13B
"	9
IBKR	Interactive Brokers Group	Capital Markets	"29.27B
"	9
IROQ	IF Bancorp	Thrifts & Mortgage Finance	"83.95M
"	9
M	Macy's	Multiline Retail	"7.84B
"	9
NG	NovaGold Resources	Metals & Mining	"2.21B
"	9
RDY	Dr. Reddy's Laboratories	Pharmaceuticals	"9.49B
"	9
SJT	San Juan Basin Royalty Trust	"""Oil, Gas & Consumable Fuels"""	"314.14M
"	9
SOPA	Society Pass	Software-Application	"94.57M
"	9
XLNX	Xilinx	Semiconductors & Semiconductor Equipment	"49.26B
"	9
ABST	Absolute Software	Software-Application	"409.03M
"	8
ANY	Sphere 3D	Software	"147.25M
"	8
ARKR	Ark Restaurants	"""Hotels, Restaurants & Leisure"""	"56.75M
"	8
BRO	Brown & Brown	Insurance	"18.83B
"	8
BROS	Dutch Bros	Restaurants	"9.55B
"	8
BTI	British American Tobacco	Tobacco	"99.15B
"	8
CHNG	Change Healthcare	Health Care Technology	"6.05B
"	8
EXR	Extra Space Storage	Equity Real Estate Investment Trusts...	"26.45B
"	8
GTLS	Chart Industries	Machinery	"4.55B
"	8
JLL	Jones Lang LaSalle	Real Estate Management & Development	"12.73B
"	8
LCID	Lucid Group	Auto Manufacturers	"49.33B
"	8
MRNA	Moderna	Biotechnology	"70.04B
"	8
MSTR	MicroStrategy	Software	"4.18B
"	8
MTRX	Matrix Service Company	Energy Equipment & Services	"200.20M
"	8
PUMP	ProPetro Holding	Energy Equipment & Services	"1.17B
"	8
RACE	Ferrari	Automobiles	"43.26B
"	8
SAFE	Safehold	Equity Real Estate Investment Trusts...	"3.53B
"	8
SE	Sea Limited	Entertainment	"88.65B
"	8
TACO	Del Taco Restaurants	"""Hotels, Restaurants & Leisure"""	"455.16M
"	8
ADER	26 Capital Acquisition	Blank Check / SPAC	"338.25M
"	7
BA	The Boeing Company	Aerospace & Defense	"122.69B
"	7
CSSE	Chicken Soup for the Soul Entertainment	Entertainment	"167.33M
"	7
DEA	Easterly Government Properties	Equity Real Estate Investment Trusts...	"1.80B
"	7
ETSY	"""Etsy, Inc."""	Internet & Direct Marketing Retail	"19.29B
"	7
FLL	Full House Resorts	"""Hotels, Restaurants & Leisure"""	"294.36M
"	7
FPAC	Far Peak Acquisition	Blank Check / SPAC	"693.31M
"	7
GOOD	Gladstone Commercial	Equity Real Estate Investment Trusts...	"862.76M
"	7
HAS	Hasbro	Leisure Products	"13.04B
"	7
HIMX	Himax Technologies	Semiconductors & Semiconductor Equipment	"1.88B
"	7
IGC	India Globalization Capital	Trading Companies & Distributors	"49.06M
"	7
ISSC	Innovative Solutions & Support	Aerospace & Defense	"119.00M
"	7
LVS	Las Vegas Sands	"""Hotels, Restaurants & Leisure"""	"34.11B
"	7
MCD	McDonald's	"""Hotels, Restaurants & Leisure"""	"193.53B
"	7
NYC	New York City REIT	REIT-Office	"150.57M
"	7
SONY	Sony Group	Household Durables	"139.52B
"	7
SWCH	Switch	IT Services	"6.19B
"	7
WMT	Walmart	Food & Staples Retailing	"390.87B
"	7
BBBY	Bed Bath & Beyond	Specialty Retail	"1.65B
"	6
BBIG	Vinco Ventures	Leisure	"475.59M
"	6
BCC	Boise Cascade Company	Paper & Forest Products	"2.99B
"	6
BJ	BJ's Wholesale Club Holdings	Food & Staples Retailing	"8.38B
"	6
BTB	Bit Brother	Restaurants	"41.12M
"	6
CLF	Cleveland-Cliffs	Metals & Mining	"9.22B
"	6
COIN	Coinbase Global	Software-Application	"51.79B
"	6
DM	Desktop Metal	Computer Hardware	"1.36B
"	6
DOCU	DocuSign	Software	"25.23B
"	6
FANG	Diamondback Energy	"""Oil, Gas & Consumable Fuels"""	"23.59B
"	6
GPRO	GoPro	Household Durables	"1.44B
"	6
GPS	The Gap	Specialty Retail	"6.83B
"	6
LYL	Dragon Victory International	Consumer Finance	"23.64M
"	6
MAT	Mattel	Leisure Products	"7.48B
"	6
MNMD	Mind Medicine (MindMed)	Biotechnology	"509.10M
"	6
NEXT	NextDecade	"""Oil, Gas & Consumable Fuels"""	"286.05M
"	6
PFE	Pfizer	Pharmaceuticals	"297.88B
"	6
RSI	Rush Street Interactive	Gambling	"659.48M
"	6
SU	Suncor Energy	"""Oil, Gas & Consumable Fuels"""	"43.57B
"	6
VS	Versus Systems	Electronic Gaming & Multimedia	"33.60M
"	6
CISO	Cerberus Cyber Sentinel	Software-Infrastructure	"576.34M
"	5
CRMT	America's Car-Mart	Specialty Retail	"628.05M
"	5
DASH	DoorDash	Internet & Direct Marketing Retail	"39.32B
"	5
DCT	Duck Creek Technologies	Software	"3.45B
"	5
EPZM	Epizyme	Biotechnology	"130.50M
"	5
EVER	EverQuote	Interactive Media & Services	"487.54M
"	5
FLAG	First Light Acquisition Group	Blank Check / SPAC	"282.90M
"	5
FRLA	Fortune Rise Acquisition	Blank Check / SPAC	"128.58M
"	5
H	Hyatt Hotels	"""Hotels, Restaurants & Leisure"""	"10.21B
"	5
HD	The Home Depot	Specialty Retail	"385.01B
"	5
HON	Honeywell International	Industrial Conglomerates	"141.36B
"	5
IAS	Integral Ad Science Holding	Advertising Agencies	"2.74B
"	5
KIII	Kismet Acquisition Three	Blank Check / SPAC	"353.44M
"	5
KO	The Coca-Cola Company	Beverages	"261.58B
"	5
KTCC	Key Tronic	"""Electronic Equipment, Instruments & C..."""	"67.69M
"	5
LAMR	Lamar Advertising Company	Equity Real Estate Investment Trusts...	"11.19B
"	5
LOVE	The Lovesac Company	Household Durables	"834.49M
"	5
MCW	Mister Car Wash	Personal Services	"5.19B
"	5
MS	Morgan Stanley	Capital Markets	"184.20B
"	5
MU	Micron Technology	Semiconductors & Semiconductor Equipment	"91.21B
"	5
PEG	Public Service Enterprise Group	Multi-Utilities	"33.51B
"	5
PFLT	PennantPark Floating Rate Capital	Capital Markets	"506.60M
"	5
PLAY	Dave & Buster's Entertainment	"""Hotels, Restaurants & Leisure"""	"1.77B
"	5
PT	Pintec Technology Holdings	Consumer Finance	"22.16M
"	5
PWOD	Penns Woods Bancorp	Banks	"170.64M
"	5
PZZA	Papa John's International	"""Hotels, Restaurants & Leisure"""	"4.52B
"	5
RCL	Royal Caribbean Cruises	"""Hotels, Restaurants & Leisure"""	"20.70B
"	5
REI	Ring Energy	"""Oil, Gas & Consumable Fuels"""	"262.05M
"	5
SEE	Sealed Air	Containers & Packaging	"10.07B
"	5
SF	Stifel Financial	Capital Markets	"8.13B
"	5
UBER	Uber Technologies	Road & Rail	"74.91B
"	5
VZ	Verizon Communications	Diversified Telecommunication Services	"223.32B
"	5
WOW	WideOpenWest	Media	"1.64B
"	5
XXII	22nd Century Group	Tobacco	"359.67M
"	5
ABNB	Airbnb	"""Hotels, Restaurants & Leisure"""	"99.72B
"	4
ARVL	Arrival	Auto Manufacturers	"2.86B
"	4
BOH	Bank of Hawaii	Banks	"3.49B
"	4
BPT	BP Prudhoe Bay Royalty Trust	"""Oil, Gas & Consumable Fuels"""	"161.78M
"	4
BTN	Ballantyne Strong	Entertainment	"57.09M
"	4
ES	Eversource Energy	Electric Utilities	"30.24B
"	4
FACA	Figure Acquisition I	Blank Check / SPAC	"404.14M
"	4
FATP	Fat Projects Acquisition	Blank Check / SPAC	"123.35M
"	4
FCF	First Commonwealth Financial	Banks	"1.57B
"	4
FTCI	FTC Solar	Solar	"357.79M
"	4
GABC	German American Bancorp	Banks	"1.06B
"	4
GAME	Engine Gaming & Media	Software	"48.62M
"	4
GS	The Goldman Sachs Group	Capital Markets	"121.44B
"	4
HAL	Halliburton Company	Energy Equipment & Services	"28.08B
"	4
HBIO	Harvard Bioscience	Life Sciences Tools & Services	"244.05M
"	4
HNST	The Honest Company	Specialty Retail	"617.17M
"	4
HOG	Harley-Davidson	Automobiles	"5.53B
"	4
HOUR	Hour Loop	Internet Retail	"101.24M
"	4
HR	Healthcare Realty Trust	Equity Real Estate Investment Trusts...	"4.48B
"	4
ID	PARTS iD	Specialty Retail	"69.66M
"	4
LEGN	Legend Biotech	Biotechnology	"6.57B
"	4
LLY	Eli Lilly and Company	Pharmaceuticals	"237.50B
"	4
LNG	Cheniere Energy	"""Oil, Gas & Consumable Fuels"""	"29.18B
"	4
MARK	Remark Holdings	Internet & Direct Marketing Retail	"93.70M
"	4
MCFE	McAfee	Software	"4.79B
"	4
MCRI	Monarch Casino & Resort	"""Hotels, Restaurants & Leisure"""	"1.19B
"	4
MITQ	Moving iMage Technologies	n/a	"13.40M
"	4
NFNT	Infinite Acquisition	Blank Check / SPAC	"337.07M
"	4
ORCL	Oracle	Software	"216.41B
"	4
PAY	Paymentus Holdings	"""Electronic Equipment, Instruments & C..."""	"3.45B
"	4
PG	The Procter & Gamble Company	Household Products	"382.91B
"	4
PSB	PS Business Parks	Equity Real Estate Investment Trusts...	"4.55B
"	4
QTWO	Q2 Holdings	Software	"3.69B
"	4
REAL	The RealReal	Internet & Direct Marketing Retail	"905.40M
"	4
RRGB	Red Robin Gourmet Burgers	"""Hotels, Restaurants & Leisure"""	"237.31M
"	4
RTX	Raytheon Technologies	Aerospace & Defense	"135.80B
"	4
RUN	SunRun	Electrical Equipment	"5.38B
"	4
SBCF	Seacoast Banking Corporation of Florida	Banks	"2.14B
"	4
SCHW	The Charles Schwab Corporation	Capital Markets	"170.27B
"	4
SFBC	Sound Financial Bancorp	Banks	"114.25M
"	4
SKLZ	Skillz	Entertainment	"1.93B
"	4
SNBR	Sleep Number	Specialty Retail	"1.65B
"	4
SNCE	Science 37	Health Information Services	"917.66M
"	4
SNOW	Snowflake	IT Services	"86.92B
"	4
STC	Stewart Information Services	Insurance	"1.91B
"	4
SVVC	Firsthand Technology Value Fund	Securities and Commodity Exchanges	"27.16M
"	4
TEAM	Atlassian	Software	"82.60B
"	4
TECH	Bio-Techne	Life Sciences Tools & Services	"15.78B
"	4
TGT	Target	Multiline Retail	"105.04B
"	4
TWO	Two Harbors Investment	Mortgage Real Estate Investment Trus...	"1.96B
"	4
UFCS	United Fire Group	Insurance	"610.72M
"	4
WH	Wyndham Hotels & Resorts	"""Hotels, Restaurants & Leisure"""	"7.97B
"	4
WWW	Wolverine World Wide	"""Textiles, Apparel & Luxury Goods"""	"2.21B
"	4
AA	Alcoa	Metals & Mining	"10.71B
"	3
ABBV	AbbVie	Biotechnology	"242.20B
"	3
ADBE	Adobe	Software	"252.82B
"	3
AEHR	Aehr Test Systems	Semiconductors & Semiconductor Equipment	"352.70M
"	3
AFCG	AFC Gamma	REIT-Specialty	"397.85M
"	3
AKA	a.k.a. Brands Holding	Internet Retail	"977.72M
"	3
ALK	Alaska Air Group	Airlines	"6.90B
"	3
ALSN	Allison Transmission Holdings	Machinery	"4.05B
"	3
ASTS	AST SpaceMobile	Telecom Services	"309.86M
"	3
AVD	American Vanguard	Chemicals	"471.43M
"	3
BAC	Bank of America	Banks	"379.17B
"	3
BBLG	Bone Biologics	Medical Devices	"22.05M
"	3
BFAM	Bright Horizons Family Solutions	Diversified Consumer Services	"7.71B
"	3
BKE	The Buckle	Specialty Retail	"1.88B
"	3
BMA	Banco Macro	Banks	"914.36M
"	3
BMAQ	Blockchain Moon Acquisition	Blank Check / SPAC	"137.03M
"	3
BMBL	Bumble	Software-Application	"5.60B
"	3
BRK.B	Berkshire Hathaway	Diversified Financial Services	"701.36B
"	3
CASH	Meta Financial Group	Thrifts & Mortgage Finance	"1.84B
"	3
CCSI	Consensus Cloud Solutions	Software-Infrastructure	"1.14B
"	3
CET	Central Securities	Asset Management	"1.08B
"	3
CHWY	Chewy	Internet & Direct Marketing Retail	"20.00B
"	3
CLWT	Euro Tech Holdings Company	Trading Companies & Distributors	"12.60M
"	3
CMPI	Checkmate Pharmaceuticals	Biotechnology	"54.94M
"	3
COP	ConocoPhillips	"""Oil, Gas & Consumable Fuels"""	"120.74B
"	3
CSCW	Color Star Technology Co.	Entertainment	"63.56M
"	3
CSPI	CSP Inc.	IT Services	"36.91M
"	3
DARE	Dare Bioscience	Health Care Equipment & Supplies	"121.80M
"	3
DB	Deutsche Bank AG	Capital Markets	"30.15B
"	3
DIDI	DiDi Global	Software-Application	"17.41B
"	3
DNMR	Danimer Scientific	Specialty Chemicals	"510.16M
"	3
DPZ	Domino's Pizza	"""Hotels, Restaurants & Leisure"""	"16.66B
"	3
EAT	Brinker International	"""Hotels, Restaurants & Leisure"""	"1.58B
"	3
ET	Energy Transfer LP	"""Oil, Gas & Consumable Fuels"""	"31.18B
"	3
FACT	Freedom Acquisition I	Blank Check / SPAC	"418.74M
"	3
FATE	Fate Therapeutics	Biotechnology	"3.93B
"	3
FB	Meta Platforms	Interactive Media & Services	"887.38B
"	3
FDS	FactSet Research Systems	Capital Markets	"15.93B
"	3
FDX	FedEx	Air Freight & Logistics	"66.77B
"	3
FHLT	Future Health ESG	Blank Check / SPAC	"245.00M
"	3
FNLC	"""First Bancorp, Inc. - Maine"""	Banks	"349.32M
"	3
FRSG	First Reserve Sustainable Growth	Shell Companies	"273.46M
"	3
FTNT	Fortinet	Software	"49.41B
"	3
HE	Hawaiian Electric Industries	Electric Utilities	"4.58B
"	3
ICE	Intercontinental Exchange	Capital Markets	"71.57B
"	3
IP	International Paper Company	Containers & Packaging	"18.61B
"	3
JOB	GEE Group	Professional Services	"60.71M
"	3
JPM	JPMorgan Chase & Co.	Banks	"445.00B
"	3
KTOS	Kratos Defense & Security Solutions	Aerospace & Defense	"2.11B
"	3
LAZR	Luminar Technologies	Software-Application	"5.36B
"	3
LEGH	Legacy Housing	Household Durables	"600.88M
"	3
LJPC	La Jolla Pharmaceutical Company	Biotechnology	"125.78M
"	3
LL	Lumber Liquidators Holdings	Specialty Retail	"423.82M
"	3
LOCO	El Pollo Loco Holdings	"""Hotels, Restaurants & Leisure"""	"490.65M
"	3
LULU	Lululemon Athletica	"""Textiles, Apparel & Luxury Goods"""	"44.59B
"	3
MAN	ManpowerGroup	Professional Services	"5.92B
"	3
MO	Altria Group	Tobacco	"92.33B
"	3
MOTS	Motus GI Holdings	Health Care Equipment & Supplies	"18.44M
"	3
MOVE	Movano	Internet Software & Services	"83.40M
"	3
MRK	Merck & Co.	Pharmaceuticals	"206.93B
"	3
NATH	Nathan's Famous	"""Hotels, Restaurants & Leisure"""	"221.23M
"	3
NC	NACCO Industries	"""Oil, Gas & Consumable Fuels"""	"218.84M
"	3
NCLH	Norwegian Cruise Line Holdings	"""Hotels, Restaurants & Leisure"""	"9.01B
"	3
NKLA	Nikola	Auto Manufacturers	"3.41B
"	3
NXPI	NXP Semiconductors NV	Semiconductors & Semiconductor Equipment	"55.37B
"	3
OFC	Corporate Office Properties Trust	Equity Real Estate Investment Trusts...	"2.86B
"	3
OI	O-I Glass	Containers & Packaging	"2.13B
"	3
OTLY	Oatly Group AB	Beverages-Non-Alcoholic	"4.32B
"	3
OVBC	Ohio Valley Banc	Banks	"141.60M
"	3
PENN	Penn National Gaming	"""Hotels, Restaurants & Leisure"""	"8.01B
"	3
